Date,Num_Transactions,Cuckoo_FPR,Cuckoo_query_ns,Cuckoo_Delete_ns,Cuckoo_Insert_ns
2-Jan,100000,0.01,6275.7,6831.48,7138.97
3-Jan,200000,0,5711.92,5834.89,7474.53
4-Jan,300000,0,5891.94,6311.86,7314.9
5-Jan,400000,0,5877.73,6004.28,7222.27
6-Jan,500000,0,5232.16,6158.18,7215.59
7-Jan,600000,0,5913.32,6402.59,7527.18
8-Jan,700000,0,5679.25,6125.54,7436.56
9-Jan,800000,0,5418.59,6072.29,7417.24
10-Jan,900000,0,6044.81,6491.79,7309.75
11-Jan,1000000,0,6097.18,6663.03,7456.19
12-Jan,1100000,0,5275.65,5935.19,7206.35
13-Jan,1200000,0,5303.4,5728.37,7358.84
14-Jan,1300000,0,5287.19,5888.68,7318.01
15-Jan,1400000,0,5719.55,6353.57,7314.2
16-Jan,1500000,0.01,5677.44,5774.34,7327.2
17-Jan,1600000,0,5843.16,5976.16,7443.85
