Hour,FPR_Query,FNR_Query,FPR_Insert,FNR_Insert,FPR_Delete,FNR_Delete,Inserts,Deletes,Queries,Insert_Rate,Delete_Rate,Query_Rate
1,0,0,0,0.0004,0,0,2721,384,824,6.5884,0.9298,1.9952
2,0,0,0,0,0.0024,0,2702,416,811,6.5424,1.0073,1.9637
3,0,0,0,0.0004,0,0,2736,416,777,6.6247,1.0073,1.8814
4,0,0,0,0,0,0,2712,392,825,6.5666,0.9492,1.9976
5,0,0,0,0.0004,0,0,2697,398,834,6.5303,0.9637,2.0194
6,0,0,0,0.0004,0,0,2764,369,796,6.6925,0.8935,1.9274
7,0,0,0,0.0004,0,0,2748,383,798,6.6538,0.9274,1.9322
8,0,0,0,0.0004,0,0,2724,415,790,6.5956,1.0048,1.9128
9,0,0,0,0.0004,0,0,2742,400,787,6.6392,0.9685,1.9056
10,0,0,0,0.0004,0,0,2762,378,789,6.6877,0.9153,1.9104
11,0,0,0,0.0004,0,0,2763,442,724,6.6901,1.0702,1.753
12,0,0,0,0.0004,0,0,2754,372,803,6.6683,0.9007,1.9443
13,0,0,0,0.0004,0,0,2733,402,794,6.6174,0.9734,1.9225
14,0,0,0,0.0004,0,0,2775,378,776,6.7191,0.9153,1.8789
15,0,0,0,0.0004,0,0,2813,346,770,6.8111,0.8378,1.8644
16,0,0,0,0,0,0,2760,376,793,6.6828,0.9104,1.9201
17,0,0,0,0.0004,0,0,2772,355,802,6.7119,0.8596,1.9419
18,0,0,0,0.0004,0,0,2745,427,757,6.6465,1.0339,1.8329
19,0,0,0,0.0004,0,0,2698,413,818,6.5327,1,1.9806
20,0,0,0,0.0004,0,0,2759,377,793,6.6804,0.9128,1.9201
21,0,0,0,0,0,0,2744,411,774,6.6441,0.9952,1.8741
22,0,0,0,0.0004,0,0,2792,384,753,6.7603,0.9298,1.8232
23,0,0,0,0.0004,0,0,2776,381,772,6.7215,0.9225,1.8692
24,0,0,0,0,0,0,2755,409,765,6.6707,0.9903,1.8523
25,0,0,0,0.0004,0,0,2718,447,764,6.5811,1.0823,1.8499
26,0,0,0,0.0004,0,0,2781,392,756,6.7337,0.9492,1.8305
27,0,0,0,0.0004,0,0,2756,383,790,6.6731,0.9274,1.9128
28,0,0,0,0,0,0,2738,356,835,6.6295,0.862,2.0218
29,0,0,0,0.0004,0,0,2741,400,788,6.6368,0.9685,1.908
30,0,0,0,0,0,0,2694,401,834,6.523,0.9709,2.0194
31,0,0,0,0.0004,0,0,2727,411,791,6.6029,0.9952,1.9153
32,0,0,0,0.0004,0,0,2792,366,771,6.7603,0.8862,1.8668
33,0,0,0,0.0004,0,0,2709,414,806,6.5593,1.0024,1.9516
34,0,0,0,0.0004,0,0,2756,369,804,6.6731,0.8935,1.9467
35,0,0,0,0.0004,0,0,2686,423,820,6.5036,1.0242,1.9855
36,0,0,0,0.0004,0,0,2724,385,820,6.5956,0.9322,1.9855
37,0,0,0,0,0,0,2775,403,751,6.7191,0.9758,1.8184
38,0,0,0,0.0004,0,0,2797,381,751,6.7724,0.9225,1.8184
39,0,0,0,0.0004,0,0,2752,391,786,6.6634,0.9467,1.9031
40,0,0,0,0.0004,0,0,2750,410,769,6.6586,0.9927,1.862
41,0,0,0,0,0,0,2723,385,821,6.5932,0.9322,1.9879
42,0,0,0,0.0004,0,0,2738,373,818,6.6295,0.9031,1.9806
43,0,0,0,0.0004,0,0,2805,361,763,6.7918,0.8741,1.8475
44,0,0,0,0.0004,0,0,2728,417,784,6.6053,1.0097,1.8983
45,0,0,0,0,0,0,2726,430,773,6.6005,1.0412,1.8717
46,0,0,0,0.0004,0,0,2794,391,744,6.7651,0.9467,1.8015
47,0,0,0,0.0004,0,0,2746,398,785,6.6489,0.9637,1.9007
48,0,0,0,0.0004,0,0,2693,393,843,6.5206,0.9516,2.0412
49,0,0,0,0.0004,0,0,2745,411,773,6.6465,0.9952,1.8717
50,0,0,0,0.0004,0,0,2760,376,793,6.6828,0.9104,1.9201
51,0,0,0,0.0004,0,0,2733,416,780,6.6174,1.0073,1.8886
52,0,0,0,0,0,0,2714,415,800,6.5714,1.0048,1.937
53,0,0,0,0.0004,0,0,2757,412,760,6.6755,0.9976,1.8402
54,0,0,0,0.0004,0,0,2767,411,751,6.6998,0.9952,1.8184
55,0,0,0,0.0004,0,0,2723,382,824,6.5932,0.9249,1.9952
56,0,0,0,0.0004,0,0,2741,402,786,6.6368,0.9734,1.9031
57,0,0,0,0.0004,0,0,2753,371,805,6.6659,0.8983,1.9492
58,0,0,0,0.0004,0,0,2777,380,772,6.724,0.9201,1.8692
59,0,0,0,0.0004,0,0,2754,392,783,6.6683,0.9492,1.8959
60,0,0,0,0.0004,0,0,2687,441,801,6.5061,1.0678,1.9395
61,0,0,0,0.0004,0,0,2752,378,799,6.6634,0.9153,1.9346
62,0,0,0,0.0004,0,0,2774,384,771,6.7167,0.9298,1.8668
63,0,0,0,0.0004,0,0,2728,417,784,6.6053,1.0097,1.8983
64,0,0,0,0,0,0,2723,385,821,6.5932,0.9322,1.9879
65,0,0,0,0.0004,0,0,2766,382,781,6.6973,0.9249,1.891
66,0,0,0,0,0,0,2754,405,770,6.6683,0.9806,1.8644
67,0,0,0,0,0,0,2700,442,787,6.5375,1.0702,1.9056
68,0,0,0,0,0,0,2742,376,811,6.6392,0.9104,1.9637
69,0,0,0,0,0,0,2743,383,803,6.6416,0.9274,1.9443
70,0,0,0,0.0004,0,0,2751,396,782,6.661,0.9588,1.8935
71,0,0,0,0,0.0026,0,2750,379,800,6.6586,0.9177,1.937
72,0,0,0,0.0004,0,0,2759,360,810,6.6804,0.8717,1.9613
73,0,0,0,0,0.0026,0,2733,388,808,6.6174,0.9395,1.9564
74,0,0,0,0.0004,0,0,2718,430,781,6.5811,1.0412,1.891
75,0,0,0,0,0,0,2765,413,751,6.6949,1,1.8184
76,0,0,0,0.0004,0,0,2723,397,809,6.5932,0.9613,1.9588
77,0,0,0,0,0,0,2676,400,853,6.4794,0.9685,2.0654
78,0,0,0,0.0004,0,0,2750,423,756,6.6586,1.0242,1.8305
79,0,0,0,0.0004,0,0,2737,392,800,6.6271,0.9492,1.937
80,0,0,0,0.0004,0,0,2770,390,769,6.707,0.9443,1.862
81,0,0,0,0,0.0026,0,2761,380,788,6.6852,0.9201,1.908
82,0,0,0,0,0,0,2738,413,778,6.6295,1,1.8838
83,0,0,0,0.0004,0,0,2722,411,796,6.5908,0.9952,1.9274
84,0,0,0,0.0004,0,0,2768,363,798,6.7022,0.8789,1.9322
85,0,0,0,0.0004,0,0,2746,410,773,6.6489,0.9927,1.8717
86,0,0,0,0.0004,0,0,2798,380,751,6.7748,0.9201,1.8184
87,0,0,0,0.0004,0,0,2762,398,769,6.6877,0.9637,1.862
88,0,0,0,0.0004,0,0,2740,400,789,6.6344,0.9685,1.9104
89,0,0,0,0.0004,0,0,2757,378,794,6.6755,0.9153,1.9225
90,0,0,0,0,0,0,2736,401,792,6.6247,0.9709,1.9177
91,0,0,0,0.0004,0,0,2687,429,813,6.5061,1.0387,1.9685
92,0,0,0,0,0,0,2769,389,771,6.7046,0.9419,1.8668
93,0,0,0,0,0,0,2752,379,798,6.6634,0.9177,1.9322
94,0,0,0,0.0004,0,0,2744,405,780,6.6441,0.9806,1.8886
95,0,0,0,0.0004,0,0,2730,441,758,6.6102,1.0678,1.8354
96,0,0,0,0.0004,0,0,2706,404,819,6.5521,0.9782,1.9831
97,0,0,0,0.0004,0,0,2727,373,829,6.6029,0.9031,2.0073
98,0,0,0,0.0004,0,0,2750,408,771,6.6586,0.9879,1.8668
99,0,0,0,0.0004,0,0,2710,371,848,6.5617,0.8983,2.0533
100,0,0,0,0.0004,0,0,2756,390,783,6.6731,0.9443,1.8959
101,0,0,0,0.0004,0,0,2796,369,764,6.77,0.8935,1.8499
102,0,0,0,0.0004,0,0,2716,374,839,6.5763,0.9056,2.0315
103,0,0,0,0,0,0,2730,390,809,6.6102,0.9443,1.9588
104,0,0,0,0.0004,0,0,2767,357,805,6.6998,0.8644,1.9492
105,0,0,0,0.0004,0,0,2760,378,791,6.6828,0.9153,1.9153
106,0,0,0,0.0004,0,0,2731,413,785,6.6126,1,1.9007
107,0,0,0,0.0004,0,0,2724,429,776,6.5956,1.0387,1.8789
108,0,0,0,0.0004,0,0,2774,389,766,6.7167,0.9419,1.8547
109,0,0,0,0,0,0,2735,379,815,6.6223,0.9177,1.9734
110,0,0,0,0.0004,0,0,2744,434,751,6.6441,1.0508,1.8184
111,0,0,0,0,0.0027,0,2780,367,782,6.7312,0.8886,1.8935
112,0,0,0,0,0,0,2763,375,791,6.6901,0.908,1.9153
113,0,0,0,0.0004,0,0,2748,384,797,6.6538,0.9298,1.9298
114,0,0,0,0.0004,0,0,2762,366,801,6.6877,0.8862,1.9395
115,0,0,0,0.0004,0,0,2745,411,773,6.6465,0.9952,1.8717
116,0,0,0,0.0004,0,0,2774,402,753,6.7167,0.9734,1.8232
117,0,0,0,0.0004,0,0,2728,392,809,6.6053,0.9492,1.9588
118,0,0,0,0.0004,0,0,2745,399,785,6.6465,0.9661,1.9007
119,0,0,0,0.0004,0,0,2772,375,782,6.7119,0.908,1.8935
120,0,0,0,0.0004,0,0,2761,402,766,6.6852,0.9734,1.8547
121,0,0,0,0.0004,0,0,2746,393,790,6.6489,0.9516,1.9128
122,0,0,0,0,0,0,2725,397,807,6.5981,0.9613,1.954
123,0,0,0,0,0,0,2738,413,778,6.6295,1,1.8838
124,0,0,0,0.0004,0,0,2800,349,780,6.7797,0.845,1.8886
125,0,0,0,0.0004,0,0,2722,402,805,6.5908,0.9734,1.9492
126,0,0,0,0.0004,0,0,2722,396,811,6.5908,0.9588,1.9637
127,0,0,0,0,0,0,2735,383,811,6.6223,0.9274,1.9637
128,0,0,0,0,0.0025,0,2705,405,819,6.5496,0.9806,1.9831
129,0,0,0,0.0004,0,0,2740,400,789,6.6344,0.9685,1.9104
130,0,0,0,0.0004,0,0,2743,416,770,6.6416,1.0073,1.8644
131,0,0,0,0.0004,0,0,2775,412,742,6.7191,0.9976,1.7966
132,0,0,0,0,0.0025,0,2676,409,844,6.4794,0.9903,2.0436
133,0,0,0,0,0,0,2734,418,777,6.6199,1.0121,1.8814
134,0,0,0,0.0004,0,0,2745,420,764,6.6465,1.0169,1.8499
135,0,0,0,0,0,0,2684,382,863,6.4988,0.9249,2.0896
